delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,279.45,324.09,380.52,380.52
5,5,170.21,245.57,265.95,292.46,355.42
8,4,120.35,210.41,216.04,240.5,325.4
11,3,103.91,186.55,193.97,203.94,312.26
14,2,35.58,138.15,138.21,148.97,264.34
17,1,18.49,121.45,121.97,122.67,257.32
