delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,329.21,368.96,412.79,412.79
5,5,170.21,279.19,309.54,373.92,387.09
8,4,120.35,243.11,259.59,332.15,357.91
11,3,103.91,228.51,236.79,308.98,344.35
14,2,35.58,147.17,163.02,168.83,285.36
17,1,18.49,138.78,141.11,152.08,275.67
