delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,270.47,321.05,380.61,380.61
5,5,170.21,242.61,257.12,300.68,353.67
8,4,120.35,201.59,208.28,230.67,319.76
11,3,103.91,177.67,185.15,194.87,306.47
14,2,35.58,129.13,129.48,139.84,259.83
17,1,18.49,112.38,112.89,113.35,252.81
