delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,371.32,429.16,445.57,445.57
5,5,170.21,341.77,381.75,402.86,402.86
8,4,120.35,305.65,336.11,353.12,364.46
11,3,103.91,295.38,315.45,340.15,340.15
14,2,35.58,229.62,241.65,249.33,282.68
17,1,18.49,220.5,223.45,232.58,266.55
