delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,343.16,404.48,421.31,421.31
5,5,170.21,305.75,345.58,391.86,391.86
8,4,120.35,270.76,295.63,338.53,357.09
11,3,103.91,256.61,275.15,331.81,332.89
14,2,35.58,189.27,200.67,208.53,274.38
17,1,18.49,181.23,182.15,191.78,257.79
