delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,306.0,365.11,393.97,393.97
5,5,170.21,280.39,300.66,330.15,373.07
8,4,120.35,244.49,257.07,280.41,338.08
11,3,103.91,226.62,234.7,244.41,326.81
14,2,35.58,178.26,178.69,189.37,272.74
17,1,18.49,161.54,161.92,162.59,264.17
