delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,237.03,267.45,343.23,343.23
5,5,170.21,173.21,201.97,279.78,305.82
8,4,120.35,123.35,145.83,208.01,273.66
11,3,103.91,106.91,116.57,177.08,257.78
14,2,35.58,50.83,52.08,61.41,237.84
17,1,18.49,34.08,34.72,34.99,221.74
