delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,374.62,410.29,457.66,457.66
5,5,170.21,349.52,384.16,393.83,393.83
8,4,120.35,319.5,341.75,350.02,350.02
11,3,103.91,306.56,320.22,324.5,330.76
14,2,35.58,252.45,264.54,264.79,278.28
17,1,18.49,245.43,247.45,247.87,264.59
