delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,249.17,280.72,346.21,346.21
5,5,170.21,185.86,204.28,293.01,308.8
8,4,120.35,136.02,146.28,221.49,298.82
11,3,103.91,116.39,123.27,190.42,282.94
14,2,35.58,38.64,47.62,57.08,227.78
17,1,18.49,21.55,28.38,33.9,218.66
