delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,314.37,373.81,402.73,402.73
5,5,170.21,291.01,309.99,338.91,380.94
8,4,120.35,252.49,264.88,289.17,346.6
11,3,103.91,234.62,243.69,252.68,336.33
14,2,35.58,185.21,186.94,196.87,279.94
17,1,18.49,169.11,170.19,170.43,271.23
