delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,253.76,290.62,348.02,348.02
5,5,170.21,195.94,214.17,303.5,313.8
8,4,120.35,146.03,156.69,231.36,307.32
11,3,103.91,126.47,130.51,200.78,291.44
14,2,35.58,48.04,54.19,66.53,230.23
17,1,18.49,31.19,31.34,43.98,221.11
