delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,269.35,315.07,379.85,379.85
5,5,170.21,241.49,255.01,291.71,353.33
8,4,120.35,199.61,208.89,230.24,324.7
11,3,103.91,175.53,184.63,192.96,311.41
14,2,35.58,126.95,127.22,137.7,264.43
17,1,18.49,110.47,110.82,111.51,257.41
