delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,241.93,272.89,354.18,354.18
5,5,170.21,178.11,212.96,286.38,316.77
8,4,120.35,133.3,156.75,212.2,284.43
11,3,103.91,110.29,127.15,180.09,268.55
14,2,35.58,60.86,61.55,72.31,239.6
17,1,18.49,44.22,44.66,45.55,223.44
