delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,423.0,459.78,496.22,496.22
5,5,170.21,397.9,431.36,438.57,438.57
8,4,120.35,359.47,388.62,396.06,398.12
11,3,103.91,349.51,366.42,376.24,383.52
14,2,35.58,294.8,315.42,319.61,334.06
17,1,18.49,286.76,298.67,301.67,324.94
