delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,372.35,423.77,486.14,486.14
5,5,170.21,351.26,359.96,403.67,460.44
8,4,120.35,304.77,316.91,339.39,430.99
11,3,103.91,286.7,293.65,304.41,417.7
14,2,35.58,238.67,239.87,250.43,372.77
17,1,18.49,221.92,222.65,223.93,365.75
