delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,369.7,406.81,451.7,451.7
5,5,170.21,344.0,377.82,388.36,388.36
8,4,120.35,314.55,338.27,348.95,348.95
11,3,103.91,301.26,316.15,321.82,330.25
14,2,35.58,257.63,263.79,270.78,281.03
17,1,18.49,246.8,247.43,251.19,266.06
