delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,399.65,437.98,477.4,477.4
5,5,170.21,374.55,409.13,416.63,416.63
8,4,120.35,338.28,364.32,369.8,371.94
11,3,103.91,328.99,345.18,347.19,350.33
14,2,35.58,262.5,275.69,281.42,288.26
17,1,18.49,254.46,255.89,264.67,276.49
