delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,370.05,425.56,466.37,466.37
5,5,170.21,327.79,363.27,404.91,433.28
8,4,120.35,281.56,306.14,361.46,416.94
11,3,103.91,265.35,270.66,339.97,399.44
14,2,35.58,220.74,227.04,245.01,376.05
17,1,18.49,203.99,207.17,216.37,366.93
