delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,266.27,297.73,364.12,364.12
5,5,170.21,202.45,213.5,308.89,326.71
8,4,120.35,152.59,162.23,237.53,302.97
11,3,103.91,132.43,136.15,206.41,287.09
14,2,35.58,57.52,64.99,68.94,248.94
17,1,18.49,41.4,41.97,52.19,239.82
