delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,234.03,315.77,357.38,387.06,387.06
5,5,170.21,257.71,296.34,355.11,361.36
8,4,120.35,232.85,245.47,310.82,331.91
11,3,103.91,214.71,222.46,289.67,318.95
14,2,35.58,145.37,155.48,158.86,272.21
17,1,18.49,136.09,138.39,142.11,260.07
