delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,532.59,555.64,651.49,651.49
5,5,332.76,436.97,439.1,504.21,569.55
8,4,258.91,295.35,296.17,373.62,474.09
11,3,211.18,247.62,248.31,312.92,438.14
14,2,60.65,80.71,81.31,97.32,292.24
17,1,33.44,53.5,53.7,54.1,265.56
