delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,612.29,624.5,656.96,656.96
5,5,332.76,336.6,413.34,443.0,509.04
8,4,258.91,334.29,349.37,371.88,476.57
11,3,211.18,286.56,301.64,324.15,442.55
14,2,60.65,148.43,150.65,165.49,297.56
17,1,33.44,121.22,121.72,129.04,276.28
