delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,554.77,592.04,657.41,657.41
5,5,332.76,478.01,499.27,560.19,567.2
8,4,258.91,462.35,472.22,489.64,498.72
11,3,211.18,414.62,425.72,444.68,454.91
14,2,60.65,279.89,280.42,290.91,312.52
17,1,33.44,252.68,252.7,263.7,339.19
