delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,546.37,583.0,651.51,651.51
5,5,332.76,484.1,502.75,566.27,566.48
8,4,258.91,469.15,476.89,490.71,500.76
11,3,211.18,421.42,430.83,443.96,459.83
14,2,60.65,284.78,286.35,291.57,310.96
17,1,33.44,257.57,257.76,264.36,344.74
