delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,422.55,535.59,560.05,560.05
5,5,332.76,525.04,530.9,567.61,575.15
8,4,258.91,383.81,393.53,454.92,497.44
11,3,211.18,336.08,337.1,363.87,451.77
14,2,60.65,169.03,179.45,186.11,303.38
17,1,33.44,141.82,142.58,152.24,279.46
