delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,517.73,563.29,650.42,650.42
5,5,332.76,532.16,543.05,581.66,581.78
8,4,258.91,481.69,485.93,504.99,508.37
11,3,211.18,433.96,435.86,453.99,461.26
14,2,60.65,264.53,270.28,284.28,314.69
17,1,33.44,237.32,239.18,243.07,343.66
