delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,568.35,631.72,687.01,687.01
5,5,332.76,531.5,559.53,607.25,607.25
8,4,258.91,516.17,523.77,541.33,552.13
11,3,211.18,468.44,478.03,493.6,507.6
14,2,60.65,327.57,337.91,342.84,371.88
17,1,33.44,300.36,313.86,319.52,369.86
