delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,534.05,559.73,648.7,648.7
5,5,332.76,413.41,426.97,481.3,549.37
8,4,258.91,271.59,295.76,350.19,449.24
11,3,211.18,223.86,237.97,289.67,423.8
14,2,60.65,70.45,78.08,87.25,278.83
17,1,33.44,43.24,43.61,50.87,257.46
