delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,558.11,571.51,676.77,676.77
5,5,332.76,442.74,445.33,510.81,580.23
8,4,258.91,300.79,304.17,379.69,479.04
11,3,211.18,253.06,256.06,319.93,454.18
14,2,60.65,91.53,92.11,105.45,305.52
17,1,33.44,64.32,64.72,64.9,283.17
