delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,462.27,561.05,591.91,591.91
5,5,332.76,540.93,546.99,595.43,598.89
8,4,258.91,395.51,401.14,471.87,513.87
11,3,211.18,347.78,352.68,374.59,468.85
14,2,60.65,184.01,190.14,201.69,331.85
17,1,33.44,156.8,161.24,162.93,305.06
