delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,610.37,621.3,659.83,659.83
5,5,332.76,352.25,413.63,451.51,521.15
8,4,258.91,329.37,343.05,369.98,475.99
11,3,211.18,281.64,298.06,322.25,438.28
14,2,60.65,146.19,147.07,163.15,298.17
17,1,33.44,118.98,119.26,127.0,278.37
