delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,544.83,571.12,650.66,650.66
5,5,332.76,408.02,425.88,479.4,543.65
8,4,258.91,261.57,296.37,344.07,441.07
11,3,211.18,213.84,238.24,280.62,415.36
14,2,60.65,80.61,81.43,98.18,282.58
17,1,33.44,53.4,53.86,61.46,259.69
