delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,479.57,555.11,610.14,610.14
5,5,332.76,554.99,566.32,572.52,574.41
8,4,258.91,439.99,443.48,495.66,499.46
11,3,211.18,392.26,392.92,413.52,455.77
14,2,60.65,225.03,229.08,241.93,306.25
17,1,33.44,197.82,198.08,201.87,301.99
