delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,527.31,553.8,648.76,648.76
5,5,332.76,419.69,427.51,487.0,556.12
8,4,258.91,278.13,295.7,356.59,457.3
11,3,211.18,230.4,238.46,295.89,430.5
14,2,60.65,63.03,71.59,80.21,278.55
17,1,33.44,35.82,43.36,44.38,256.96
