delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,625.57,682.22,743.74,743.74
5,5,332.76,573.18,585.51,650.22,696.51
8,4,258.91,424.11,452.65,502.46,603.48
11,3,211.18,376.38,389.32,417.2,562.56
14,2,60.65,227.8,238.33,261.92,445.05
17,1,33.44,200.59,206.76,223.32,421.2
