delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,621.37,631.75,659.66,659.66
5,5,332.76,363.7,427.51,462.2,521.25
8,4,258.91,343.73,354.72,382.89,477.66
11,3,211.18,296.0,311.65,335.16,452.09
14,2,60.65,157.27,160.66,174.38,304.48
17,1,33.44,130.06,130.42,138.12,278.53
