delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,537.72,559.5,656.15,656.15
5,5,332.76,426.75,432.59,494.25,566.77
8,4,258.91,285.05,295.42,363.86,464.27
11,3,211.18,237.32,238.41,303.13,435.36
14,2,60.65,71.21,77.74,87.42,289.76
17,1,33.44,44.0,44.53,50.53,262.6
