delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,549.95,587.17,663.61,663.61
5,5,332.76,508.72,528.75,585.38,587.7
8,4,258.91,493.93,501.66,509.86,514.41
11,3,211.18,446.2,455.8,463.03,476.89
14,2,60.65,302.72,309.77,311.14,331.84
17,1,33.44,275.51,280.98,282.56,370.9
