delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,722.63,732.64,767.01,767.01
5,5,332.76,462.64,525.18,560.57,628.98
8,4,258.91,440.05,451.33,479.23,587.1
11,3,211.18,392.32,409.97,431.5,550.66
14,2,60.65,258.63,259.33,276.24,407.63
17,1,33.44,231.42,232.12,239.78,390.13
