delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,650.45,658.57,667.2,667.2
5,5,332.76,396.12,462.36,492.54,517.15
8,4,258.91,382.34,391.68,420.77,499.63
11,3,211.18,334.61,350.65,373.04,453.3
14,2,60.65,197.9,199.66,215.34,316.13
17,1,33.44,170.69,171.1,178.6,289.74
