delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
2,6,419.93,658.76,664.96,674.26,674.26
5,5,332.76,411.71,478.54,504.4,528.18
8,4,258.91,393.54,405.75,433.08,510.48
11,3,211.18,345.81,362.01,385.35,466.14
14,2,60.65,204.79,211.02,222.38,321.15
17,1,33.44,177.58,178.02,185.98,297.32
